
2020/06/02 20:38:26.551 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 20:38:26.551 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:04:23.416 , Chip 0 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 1000
2020/06/02 23:04:24.366 , Chip 1 ,Procesador 0 ,  Detalle: Se escribio el dato : CF48que apunta a la dirección de mem 0101 de CacheL1_1 en la posición 0
2020/06/02 23:04:24.366 , Chip 0 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 0101
2020/06/02 23:04:25.366 , Chip 1 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 0100
2020/06/02 23:04:28.369 , Chip 1 ,Procesador 0 ,  Detalle: Se escribio el dato : CF48que apunta a la dirección de mem 0101 de CacheL2 en la posición 0
2020/06/02 23:04:33.870 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:04:33.870 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:04:56.418 , Chip 0 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:04:57.370 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:04:58.367 , Chip 1 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1000
2020/06/02 23:05:06.873 , Chip 1 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:05:06.873 , Chip 1 ,Procesador 0 ,  Detalle: Se leyo el dato : CF48que apunta a la dirección de mem 0101 de CacheL1_1 en la posición 0
2020/06/02 23:05:06.874 , Chip 1 ,Procesador 0 ,  Detalle: En CacheL1_1 se modifico el estado de 0000de M a S
2020/06/02 23:05:08.875 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:05:08.875 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:05:26.907 , Chip 1 ,Procesador 0 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 0101
2020/06/02 23:05:29.421 , Chip 0 ,Procesador 0 ,  Detalle: Se escribio el dato : 8475que apunta a la dirección de mem 1000 de CacheL1_1 en la posición 0
2020/06/02 23:05:30.372 , Chip 0 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1010
2020/06/02 23:05:31.369 , Chip 1 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 0111
2020/06/02 23:05:33.421 , Chip 0 ,Procesador 0 ,  Detalle: Se escribio el dato : 8475que apunta a la dirección de mem 1000 de CacheL2 en la posición 0
2020/06/02 23:05:38.923 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 1000
2020/06/02 23:05:38.923 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 1000
2020/06/02 23:05:56.926 , Chip 0 ,Procesador 0 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1011
2020/06/02 23:05:59.909 , Chip 1 ,Procesador 0 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1011
2020/06/02 23:06:03.374 , Chip 0 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1000
2020/06/02 23:06:04.370 , Chip 1 ,Procesador 1 ,  Detalle:  Calculó el dato :  CALC que apunta a la dirección de mem 1000
2020/06/02 23:06:15.539 , Chip 0 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:06:16.517 , Chip 0 ,Procesador 1 ,  Detalle: Se escribio el dato : 24FDque apunta a la dirección de mem 0101 de CacheL1_2 en la posición 0
2020/06/02 23:06:16.517 , Chip 0 ,Procesador 1 ,  Detalle: Se escribio el dato : 24FDque apunta a la dirección de mem 0101 de CacheL1_2 en la posición 0
2020/06/02 23:06:17.518 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 Se hubo un miss  buscando la direccion guardada 1001
2020/06/02 23:06:17.519 , Chip 0 ,Procesador 1 ,  Detalle: En CacheL2 Se hubo un miss  buscando la direccion guardada 1001
2020/06/02 23:06:17.519 , Chip 1 ,Procesador 1 ,  Detalle: Se escribio el dato : 0000que apunta a la dirección de mem 1001 de CacheL1_2 en la posición 0
2020/06/02 23:06:20.519 , Chip 0 ,Procesador 1 ,  Detalle: Se escribio el dato : 24FDque apunta a la dirección de mem 0101 de CacheL2 en la posición 0
2020/06/02 23:06:23.520 , Chip 1 ,Procesador 1 ,  Detalle: Se leyo el dato : 24FDque apunta a la dirección de mem 0101 de CacheL2 en la posición 0
2020/06/02 23:06:23.520 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL2 se modifico el estado de 0000de M a S
2020/06/02 23:06:25.522 , Chip 1 ,Procesador 1 ,  Detalle: Se leyo el dato : 0000que apunta a la dirección de mem 1001 de CacheL1_2 en la posición 0
2020/06/02 23:06:25.522 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 se modifico el estado de 0000de M a S
2020/06/02 23:06:25.523 , Chip 1 ,Procesador 1 ,  Detalle: Se leyo el dato : 0000que apunta a la dirección de mem 1001 de CacheL1_2 en la posición 0
2020/06/02 23:06:25.523 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 se modifico el estado de 0000de S a S
2020/06/02 23:06:25.523 , Chip 1 ,Procesador 1 ,  Detalle: En CacheL1_2 se modifico el estado de 0000de S a S
2020/06/02 23:06:26.020 , Chip 0 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:06:26.020 , Chip 0 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 0101
2020/06/02 23:06:27.524 , Chip 1 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 1001
2020/06/02 23:06:27.524 , Chip 1 ,Procesador 0 ,  Detalle: En CacheL1_1 Se hubo un miss  buscando la direccion guardada 1001
